#B站推出青少年模式#,,,,
username,comment,interact,date,likes
笑傲江湖的麦麦酱,翻了一遍话题页，然而并没有提到如何对青少年的账号进行区分，谁会给自己的账号设置障碍？就应该进行用户实名认证，由网站对未成年进行内容展示筛选。,null,5-30 13:00,2
offshorewind_,还剩三个月成年的我很尴尬,null,5-30 12:59,
人字拖上的世界,会屏蔽ctrl吗？屏蔽了就卸载了,null,5-30 12:59,
番茄冬呱,那我作为一个成年人首页不希望出现一些卖肉之类的东西怎么办，b站老推荐在首页，真辣眼睛,null,5-30 12:59,
杨杨杨杨蕙宁,哈哈哈哈哈哈哈,null,5-30 12:59,
cmcq15inbeijing,#B站青少年模式# 其实作为一个没有自控力的成年人，也很想用青少年模式,null,5-30 12:59,
一颗大白豆子,妙啊,null,5-30 12:59,
微笑恐惧,弹幕死后第二天，想它！,null,5-30 12:58,
GabuMei,然而可以随时关闭,null,5-30 12:58,
东小志250,这也太硬核了吧,null,5-30 12:57,
媱瑤欲醉,建议所有浏览器，app，电视剧，电影都出分级谢谢！！//@嘉嘉在广东:建议所有的视频app都推出，谢谢,null,5-30 12:57,
SOCIALLE,哈哈哈哈哈哈成年的新意义,null,5-30 12:57,
花仔好爱诗妹,没啥用，最有用的办法就是所以网站都需要人面登录，这样不就区分成年和未成年,null,5-30 12:57,1
若樱花草木,点赞,null,5-30 12:56,
JUST-FINDME,,null,5-30 12:55,
锖青玄,是不是我不设置没有问题!千万不要我过两天高考完，开学上了大学还让我因为未成年啥都不让干,null,5-30 12:55,
一白啊啊,优秀,null,5-30 12:55,
艾弗杰的可乐罐子,幸好我成年了,null,5-30 12:55,
2019年也要快乐追居,当然好啦,null,5-30 12:54,
夼光,赶紧实名认证，推行分级制度吧！不然有这个和没有，有什么区别。,null,5-30 12:54,
想什么呢AJ,B站真的不错，不过俺是成年人,null,5-30 12:54,
一只打抱不平的仙鹤,惊现我女排,null,5-30 12:53,
头像是偶像啊,不能打赏真的太棒了，省的有年纪小的孩子不小心打赏好多钱,null,5-30 12:53,
曲中人63,和蔡老师官司打的怎么样？,null,5-30 12:52,
